date,keyword,title,contents,comments,site,url,author_nickname,comment_nicknames
2025.07.04. 13:49,에어컨+%2B안심 ,안심 에어컨청소 업체,안심하고 사용할 수 있도록 최선을 다하여 에어컨청소 하고 있습니다. 어제도 오늘도 내일도 에어컨청소 인아클스 010 4717 5913,[],네이버포탈,https://cafe.naver.com/kidsinlove/1157100?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImtpZHNpbmxvdmUiLCJhcnRpY2xlSWQiOjExNTcxMDAsImlzc3VlZEF0IjoxNzY2MDE5MDI1NjQ5fQ.lns8_NHNARyEDHOII_c7rIB-s8SlmZvU3cL7YhxQc1E,인아클스,댓글 닉네임 없음
2025.01.23. 23:18,에어컨+%2B안심 ,에어컨 사용전 깨끗하게 청소하고 사용하세요! 안심케어 에어컨 클리닝 롯데하이마트 평택세교점에서,"안녕하세요~롯데하이마트 평택세교점 입니다~이번에 소개 해 드릴 상품은에어컨 안심케어 클리닝 서비스 입니다! 에어컨을 사용하려고 하니 곰팡이냄새와 쌓여있는 먼지에 얼굴을 찌푸리신적 있으시죠?? 에어컨은 공조가전제품으로 겉보다 내부오염 관리가 더욱 중요합니다 쾌적한 안심 실내공기의 시작!하이마트 평택세교점에서 에어컨 가전클리닝 서비스 에어컨 정말 깨끗할가요?여름철 필수 가전 에어컨! 그러나 보이지 않는 내부에는먼지,곰팡이,세균 등이 쌓여 실내 공기를 오염시킬 수 있습니다평택세교점 에서 에어컨클리닝 서비스로 깨끗한 공기를 되찾아 보세요! 겉으로 보기엔 깨끗한 에어컨.가전클리닝 서비스가 꼭 필요할까요? 에어컨 내부는 사용 환경에 따라 다음과 같은 문제를 유발할수 있습니다 첫번째: 호흡기 질환유발 (곰팡이와 세균이 송풍구를 통해 퍼지며 건강에 악영향을 줄 수 있습니다.)두번째: 악취발생(오염된 송풍팬과 필터에서 불쾌한 냄새가 날 수 있습니다.)세번째: 성능저하 및 전기료증가(내부 먼지가 에어컨 효율을 저하시켜 전력 소비를 높입니다.) 이렇듯,당장 눈에 보이지 않더라도 주기적인 에어컨 가전클리닝 서비스는 정말 중요합니다. 롯데하이마트 평택세교점의에어컨 가전클리닝은 전문가가 방문하여1~2시간 30분 동안 이렇게 진행됩니다 저희 롯데하이마트 평택세교점에서 에어컨 클리닝을 선택해야하는 이유!! 첫째: 시간약속 100%보증제-고객님의 소중한 시간을 지키기 위해 약속된 시간 내에 서비스를 완료 합니다둘째: 사후관리 1년 보증 100%-클리닝 후에도 안심! 가전클리닝 때문에 발생한 문제가 아니어도 가전 수리비 발생 시 1년간 서비스를제공셋째: 국내 기관 인증 약품 사용-친환경 인증 약품으로 가족 건강과 환경 모두를 보호합니다.넷째: 전문 장비 사용-총 45종의 전문 장비를 활용해 꼼꼼하고 효과적으로 청소합니다. Previous image Next image 에어컨 내부 모습 무더운 여름을 맞이하기 전 깨끗하게 관리된 에어컨으로 이번 여름 시원하게!!!! 궁금하신건 네이버 채팅 문의 ▼▼▼ 네이버 톡톡 문의 또는 전화문의 주시면 친절하게 안내드리고방문하시지 않아도 주문접수가 가능합니다~^^ 감사합니다~롯데하이마트 평택세교점 이었습니다~",[],네이버포탈,https://cafe.naver.com/booyoungislove/853191?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJvb3lvdW5naXNsb3ZlIiwiYXJ0aWNsZUlkIjo4NTMxOTEsImlzc3VlZEF0IjoxNzY2MDE5MDI1NjQ5fQ.jk17W_nssiMiECZwdxJ8GLabS5Z8dE_iVVKQwcdvDB4,하이마트평택세교,댓글 닉네임 없음
2025.02.28. 09:34,에어컨+%2B안심 ,[시스템에어컨] 포레나광교상현 시스템에어컨 안심 시공으로 보답!,"포레나광교상현1600-6281엘에스공조 안녕하세요~""고객 만족 = 시공능력"" 이라는 신념으로시스템에어컨을 설치하고 있는엘에스공조 입니다! 긴급속보입니다! 4월부터 전국적으로 LG전자 시스템에어컨 가격을 대폭상승 예정, 적용이라고 합니다.시스템에어컨 설치 계획이 있으신 분들은무조건 3월에 준비하세요!!! 엘에스공조는 거주중이신 세대의 보양비도 3월까지 반값으로 적용 되니 시스템에어컨 설치 문의 연락주시면 친절하게 상담해 드리겠습니다. 엘에스공조에 보양비 할인도 받으시면서 시스템에어컨 설치 받으시는것을 강력추천합니다!!! 엘에스공조에서 설치하는 시스템에어컨은오피스텔, 빌라, 주택, 상가, 아파트 등에 설치 가능하며입주 전 설치, 입주 후 설치도 가능합니다 세대 인테리어 현장에서도 물론 설치 가능한데요 오늘 엘에스공조에서 소개 할 현장은 경기도 용인시 수지구 수지로 17 위치 한 포레나광교상현 아파트 입니다인테리어 현장 시스템에어컨 설치 사례 입니다! 세대 시스템에어컨 설치 현황 엘지 시스템에어컨 거실 (18평)안방 (6평)작은방1 (5평)작은방2 (5평) 실외기 4마력 다배관 설치기간 2일 인테리어가 진행중이었던 포레나광교상현 입니다인테리어 세대의 경우선배관 후 장비 설치로 두 번 방문하게 되는데요 ! 공실 세대도 물론 가능하지만전체 인테리어 진행하면서 시스템에어컨 설치도 물론 가능합니다저희 엘에스공조 시스템에어컨 설치는인테리어 일정에 맞추어 일정 조율도 가능하며,다년간 시스템에어컨 설치 해온 만큼차질 없이 완벽한 설치를 약속드립니다! 포레나광교상현 시스템에어컨 거실과 안방, 그리고 각방에 모두 설치된 모습입니다엘지 시스템에어컨으로 설치해 드렸는데요화이트톤으로 아주 깔끔하죠?!!! 요즘 트렌드는 시스템에어컨을 각방은 물론 주방이나 알파룸에도 설치하는 추세입니다 특히 주방에 설치 시 무더운 여름에도쾌적하고 시원하게 음식을 할 수 있다는 장점이 있습니다 가정에서 음식을 많이 하시는 세대라면주방에도 추가 설치 고려해 보시기 바랍니다 포레나광교상현 시스템에어컨 먼저 선배관 작업을 마치고 판넬 부착 전 사진입니다인테리어 공사 중 배관을 먼저 설치하는 작업을 진행했는데요인테리어 공사 중엔 먼지나 분진 가루 등으로기기에 결함이 생길 수 있어 엘에스공조에서는 보양작업까지 진행하니 안심하고 맡겨주세요!!! 포레나광교상현 시스템에어컨설치 후에도 혹시나 모를 오염을 대비한보양 작업도 철저히! 엘에스공조 시스템에어컨은 대수와 평형은 고객님과 충분한 상의 후 결정되며,세대 평수, 라이프스타일에 따라 변경 될 수 있습니다 포레나광교상현 시스템에어컨엘에스공조의 제품은 모두 확실히 정품만을 사용하며설치일 기준 3개월 이내의 최신 제품으로 설치하고 있습니다 시스템에어컨 가동 시 물이 빠지는배관&드레인 작업은 더욱 철저히 진하고 있어요 포레나광교상현 시스템에어컨은최소 2대 부터 설치 가능하며한대의 실외기로 최대 5대 까지 설치 가능합니다 현장 상황에 맞춘 깔끔하고 안전한 설치!저희 엘에스공조에 맡겨주시면 최선을 다해 설치 진행하겠습니다 시스템에어컨은 엘에스공조에 맡겨주세요! 10년 이상 숙련된 팀장님의 구성으로믿고 맡길 수 있는 업체 엘에스공조! 엘에스공조는 A/S 지원도 무려 10년 입니다! 엘에스공조는 우수가 아닌 최우수 입니다 판매실적 1위, 시공 1위인 법인업체에서 무조건 확실한 시공을 받으시기 바랍니다! 시스템에어컨 관련 문의 사항은아래 번호로 연락 주시면목소리가 우아하고,예쁘고~친절한 실장님이 상담 해드립니다! ^^","['그렇군요 잘 보았습니다', '앗..시스템에어컨.잘 봤습니다', '잘보고 갑니다 수고하세요']",네이버포탈,https://cafe.naver.com/junkart/1055362?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imp1bmthcnQiLCJhcnRpY2xlSWQiOjEwNTUzNjIsImlzc3VlZEF0IjoxNzY2MDE5MDI1NjQ5fQ.AYIr69pYF5VP4dBjLhm2-8cOUXwNIc5s9ZIMJ5nNWes,주식회사 엘에스공조,부찌V신봉동82 | 물꽃요정 | 깍쟁이v매탄동76
2025.06.10. 10:04,에어컨+%2B안심 ,에어컨 청소했어요~~,작년에 엄청 더워서 여름내내 에어컨 켜고 살았더니...송풍구 쪽에 곰팡이가 피었더라구요 ㅜㅜ 다시 에어컨 켜기 전에 청소해야겠다 싶어서 강릉맘 제휴업체인 우렁총각에 예약했답니다~ 지인이 우렁총각에서 했는데 너무 속시원하게 잘 닦아준다고 해서 기대하고있었는데~ 역시!! 기대이상으로 깨끗하게 잘 청소해 주셨어요~~ 청소 전에 화장실 전체와 에어컨 주변에 깔끔하게 보양 해주십니다~~ Previous image Next image 청소 전 Previous image Next image 청소 후 너무 깔끔하게 잘 해주셨습니다~~ 에어컨 안심하고 틀 수 있겠어요!!!^^ 너무 감사합니다!^^,"['2in1 에어컨 세척 비용 공유 가능할까요~?', '저는 스탠드 하나만 해서요^^; 카페에 가격문의 게시글 올리시면 업체에서 답변주실거에요~', '소중한 후기를 잊지 않고 올려주셔서 감사합니다.\n\n에어컨은 첫가동시 5분정도는 창문을 열고\n물막을 형성하도록 낮은 온도로 가동시켜 주시고 \n\n사용후에는 30분이상 꼭 송풍으로 말려주셔야 좋습니다.\n\n강릉우렁총각은 언제나 고객의 행복을 곁에서 응원하도록 최선을 다하겠습니다.\n감사합니다~^^']",네이버포탈,https://cafe.naver.com/cge80/1201788?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImNnZTgwIiwiYXJ0aWNsZUlkIjoxMjAxNzg4LCJpc3N1ZWRBdCI6MTc2NjAxOTAyNTY0OX0.UeTH2LKgkUzu6qHrbpd8kzpc4cj0L26fc-NP4HO2q7M,미니둥이,일등이등 | 미니둥이 | 우렁총각 강릉점
2025.06.04. 11:25,에어컨+%2B안심 ,신우토탈케어  에어컨청소 했어요,에어컨 산 지 7~8년 됐지만 거의 사용을 안해서 청소는 생각도 안하다가 작년쯤 냄새가 나길래 올 해 에어컨 틀기전 청소 부탁드렸네요.분리도 꼼꼼하게 잘해주시고 설명도 쉽게 잘해주셨어요.청소도 깔끔합니다.올 여름은 에어컨 안심하고 틀어보겠습니다. 사진으론 다 안 보이는 곰팡이랑 먼지 많아요ㅠㅠ,['안녕하세요☺\n신우토탈케어 입니다\n저희업체청소에 만족하셔서 \n후기도 남겨주셔서 감사합니다❣️\n앞으로도 열심히하는 \n신우토탈케어가 되겠습니다🙋🏻\u200d♂️'],네이버포탈,https://cafe.naver.com/sogam0515/1882695?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNvZ2FtMDUxNSIsImFydGljbGVJZCI6MTg4MjY5NSwiaXNzdWVkQXQiOjE3NjYwMTkwMjU2NDl9.YSPXW-L0SnEgTpczID2-x46286vc-0sFW0ERaAYq6sM,박인서,신우토탈케어7호점
2025.07.08. 11:34,에어컨+%2B안심 ,에어컨청소대박.ㅎ.ㅎ신기해요,청주에어컨청소 세탁기청소 우렁총각 충청북도 청주시 상당구 산성로98번길 23 예약 몇년전에 청소하고 만족스러워다시 신청했는데역시나 꼼꼼히 깨끗하게 해주셨어요~이제 에어컨 안심하고 사용할 수 있겠어요감사합니다,"['고객님, 소중한 후기 너무 감사합니다😊 에어컨은 특성상 내부에 곰팡이 등의 오염이 생기기 쉽기 때문에 주기적으로 내부까지 청소해주시는게 중요합니다. 깨끗해진 에어컨 잘 사용하시고 건강하고 쾌적한 여름 보내시길 바라겠구요, 다음에 뵐 때 까지 저희는 더 좋은 서비스를 위해 노력하는 우렁총각이 되겠습니다.🌸https://m.place.naver.com/place/1772371439/home']",네이버포탈,https://cafe.naver.com/cjcjmom/3420339?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImNqY2ptb20iLCJhcnRpY2xlSWQiOjM0MjAzMzksImlzc3VlZEF0IjoxNzY2MDE5MDI1NjQ5fQ.piiRF1w9Bd3M17K5huIeVRyAfeW-vssbzSFa0uI4UC0,쭈니맘74가경동,분해청소 우렁총각
2025.09.10. 15:58,에어컨+%2B안심 ,에어컨 수리 못함 & 기아 안심점검,"에어컨 온도가 전혀 안내려가는 문제 때문에, 거의 한달을 기다려서 오늘 겨우 오토큐 예약 방문을 했습니다.헤드라이트 업데이트와 1년 점검도 포함해서 두시간을 기다렸는데... 부품 없어서 수리 못했다네요.제 차 as받기 얼마 전에도 이미 같은 증상의 차가 왔었고, 그 차도 인터버 문제였었으면 미리 부품을 준비 했어야지...ㅜㅜ다음주쯤에 연락 준다합니다.최대한 빨리 수급해본다는데, 파업 예고도 있어서 일정이 불확실하다고 하니 어찌될런지 모르겠네요.결국 여름은 다 지나가고 수리 되는듯 하네요... 친절하긴 한데...기아의 전기차 as과정이...으으음. 그나저나,앱에서였나, 1년차 정기점검 하라고 떠서 이번에 겸사겸사 같이 했는데, 이게 2년차 무상점검이 맞나요? (기아 안심점검. 보고서에는 2년차라고 써있네요)차 출고일 기준인가요? 아니면 한 해 기준인가요?as예약한날은 출고 1년 지나기 전 이었고, 실제 점검일은 출고 1년 후 입니다.다음에는 언제 받는건지 알고싶어요.","['연차 정기점검은 출고일기준이고  보고서는 예약일이 아니고 조치받은 점검일 기준일겁니다.', '그랬군요.감사합니다!']",네이버포탈,https://cafe.naver.com/musicdomain/835420?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im11c2ljZG9tYWluIiwiYXJ0aWNsZUlkIjo4MzU0MjAsImlzc3VlZEF0IjoxNzY2MDE5MDI1NjQ5fQ.OQ2EbDzJTpfjoIs8h7mv1MaQmGyd3bAPQwX_LGRSatY,강원ll마나,EV3오너스매니저 | 강원ll마나
2025.04.01. 15:31,에어컨+%2B안심 ,드뎌 첫 에어컨 청소 해봤습니다.^^,미리 해봤던 지인 추천으로 신청해서 처음으로 해 보았습니다.➡️➡️➡️우렁총각✅️✅️미리 안내 문자와 오시는 분 사진과 전번까지 보내주시고 대기업 as센터 처럼 진행된 점에 놀랐습니다.보양 작업도 꼼꼼히 해주시고 친절하게 설명도 잘해주셨습니다.물론 제일 중요한 청소 부분도 대 만족 깨끗이 되었습니다2대에 2시간30분 정도 걸렸습니다.올 해 여름은 에어컨 안심하고 틀수 있겠어요^^~기사님 고생 많으셨습니다~,"['고객님, 좋은 후기 남겨주셔서 너무 감사합니다😊에어컨 내부를 열어보면 생각보다 많은 오염에 놀라시는데요, 전문기술을 갖춘 기사님께서 분해해서 청소하시면 새 것처럼 깨끗해집니다. 에어컨은 사용량이 많을 수록 자주 청소해주시는게 좋은데요, 올 여름 잘 사용하시고 또 청소주기가 되시면 불러주세요. 감사합니다^^🌸https://m.place.naver.com/place/1772371439/home']",네이버포탈,https://cafe.naver.com/cjcjmom/3399241?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImNqY2ptb20iLCJhcnRpY2xlSWQiOjMzOTkyNDEsImlzc3VlZEF0IjoxNzY2MDE5MDI1NjUwfQ.GBCSinwmaO7eLWoeuOuYu0uAgsKnf7NuJ9L7E2JSxTo,비타맘81율량동,분해청소 우렁총각
2025.07.27. 13:06,에어컨+%2B안심 ,에어컨바람을 참을수 없어요,"주말반 에어컨청소 신청 감사드려요^^ 에어컨청소 전에서 온갖 이상한 냄새때문에 참을수 없었어요 냄새와 곰팡이 더 이상 참지말기 더이상 에어컨 바람을 참을수 없어서 주말반 에어컨청소 결심. 50m© NAVER Corp.더보기 /OpenStreetMap지도 데이터x© NAVER Corp. /OpenStreetMap지도 컨트롤러 범례부동산거리읍,면,동시,군,구시,도국가 인아클스 경기도 하남시 미사대로 520 씨디비315호 위니아 제품 청소후 에어컨 바람이 달라졌어요. 인아클스 미사강변리슈빌 안심 에어컨청소 성원에 감사드립니다. 미사강변리슈빌 에어컨청소 010 4717 5913 인아클스 미사강변도시 에어컨청소",['저도 잘때 취침모드 맞춰\n다가 다시 추가로 추가로 더\n돌렸어요 ^^;'],네이버포탈,https://cafe.naver.com/kidsinlove/1159419?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImtpZHNpbmxvdmUiLCJhcnRpY2xlSWQiOjExNTk0MTksImlzc3VlZEF0IjoxNzY2MDE5MDI1NjUwfQ.PxkkCdOGqCwi2ONAybNfIBY1t3byL3B4iC31rLzs608,인아클스,그레이스켈리
2025.05.31. 14:37,에어컨+%2B안심 ,에어컨청소의 날,이제 날이 점점 더워지고에어컨 켜야하는 날이 다가오고 있어요~시스템에어컨이라 직접 할수 있는건 필터청소뿐이라 2년동안 묵힌 곰팡이 박멸하려고 청소예약했는데 그날이 오늘~^^ 다 분해하고 나니 4대중 유독 방 2곳에서 곰팡이가 많이 보이네요~ㅜㅜ 올해 청소 안했음 큰일날뻔~😭 비닐 쭉 둘러주고 약품처리 해주십니다~ 작업시간 2시간~끄읕~😊이제 맘편히 에어컨 가동해도 되겠어요~^^ 참고로 사장님왈~4-5월에 해도 되지만 그렇게 되면 다음해 청소할때까지 물받이에서 곰팡이가 생기기때문에…여름동안 에어컨 사용후 9-10월에 청소하는게 좋다고 하시네요~! 집 에어컨 청소했으니 울 라바도 에어컨필터 교체 고고~글로브박스 내리고 양옆 버튼 꾸욱 눌러서 커버 올리고 필터 꺼내고 새필터 껴주면 끝~ 오늘의 할일 다 마치고 나니 기분이 좋으네요~29까지 올라간다는데 생각보다 쨍하지 않아서 다행인것 같아요~덥지만 시원한 주말 보내세요~🤗,"['이야 그동안 에어컨을 안트셨다구요??? 그렇게 더웠는데요!!!\n\n아우 집 좋아보이네요 부럽습니다\n\n저도 좀전에 부동액(냉각수)사다 보충해주고 너무너무 뿌듯합니다', '저희 집이 산옆이라 도심보다는 시원한 편이에요~ 선풍기도 몇번 안틀었어요~ㅎ\n\n지난번 블핸에서 정기점검시 냉각수 이상없다했는데 확인안하고 왔더니만…몇일뒤 보니 냉각수가 바닥인거있죠~(블핸 점검 제대로 안하나봐요~ㅜㅜ)\n그래서 냉각수 넣어주고 수시로 체크하는데 든든하네요~^^', '살면서 관리할게 왜이렇게 많은가 몰라요. 관리로 시작해서 관리로 끝나는 삶', '그러게요~~뭐 이리 할게 많은지..ㅎㅎㅎ', '고생하셨어요~ 오늘 같이 출근한 분 중에 한분이 이런말을 하시더라구요 집에 있는게 더 힘들다고요 ㅋ 😂', '정답입니다~ㅎ 집에있음 자꾸 할일이 계속 생기는 마법~ㅋ', '에어컨 청소도 직접 하신줄 알고 깜짝 ㅎㅎ 이제 시원하게 에어컨 안심하고 켜세요~ㅎㅎ', '직접했다가 큰 공사가 될것 같아 맘편히 돈으로 해결했어요~ㅎㅎㅎ 깨끗해진건 좋은데 매년 고정지출이 생겨서 기쁜?? 🤣']",네이버포탈,https://cafe.naver.com/krzr/1200599?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImtyenIiLCJhcnRpY2xlSWQiOjEyMDA1OTksImlzc3VlZEF0IjoxNzY2MDE5MDI1NjUwfQ.9C-JMqBWzgcxG8R1rDv0SrKP9XRcPQs4wr4MBuPLhDc,서울VE티에미니,수원VE왕달 | 서울VE티에미니 | 서울VE트윈헤드 | 서울VE티에미니 | 양주VE준니 | 서울VE티에미니 | 서울VE별2 | 서울VE티에미니
