date,keyword,title,contents,comments,site,url,author_nickname,comment_nicknames
2025.08.03. 17:31,에어컨+%2B홈캉스 ,여러분~ 홈캉스는 셰튜브와 함께 하세요 :),홈캉스때는 밀린 셰튜브 보는게 최고!! 집에서 시원한 에어컨과 아이스아메리카노를 한잔 마시면서 셰튜브 보는게 꿀맛이지요 :)영화관에서 영화보는 것보다 더 재밌습니다..!!!,"['그곳에서 같이 바캉스를 즐기고 싶군요 :)', '셰튜브 직관하면서 휴가를 보내는게 꿈입니다 흐흐', '휴가는 홈카스가 최고이지요 ^^\n여유있게 듣는  음감이 참좋더라고요 내일 회사가야지 이런마음없는  .. 여유있는하루\n\n즐거운 하루되세요 \n', '여유있는 음감이 가장 좋은 음향기기인 것도 같습니다 :) 주말 잘 보내시고 내일부터 다시 같이 화이팅하시죠!!', '뮺즈 키보드 구입 성공하셨군요.ㄷㄷ::: 매번 품절이라 구매할 수 없다는 전설의 키보드!!', '사실 키캡만 구입한 제품입니다 :) 국립중앙박물관 단청키보드의 디자인업체가 시이닷이라는 업체인데,거기 쇼핑몰에서 키캡만 별도 판매를 하고 있어서 구매했습니다 (제작기간 2~3주에, 가격은 대략 키캡만 8만원 정도입니다)', '실행에 옮기고 있습니다 😊 \n\n', '역시 훌륭하십니다 베니님 완벽한 호캉스입니다 >_<', 'AreTe HPA는 어디가고 SSL만..', '왼쪽에 SSL 옆에 보시면 은색과 빨간색 도시락통(?!)이 있는데 은색이 Arete HPA고, 빨간색이 탐라입니다 :) 이번 사진의 메인이 셰튜브라서 가운데 놓다보니 조금 짤려버렸습니다 ㅠㅠ', 'SSL BiG이 잘 보이는.. 읍읍', '쉬잇..!! 사람들이 눈치채버립니다', '저는 그냥 스마트폰에 \n비트버드로봐도 재미있었는데\n오디오 시스템이 좋아서 더\n감명깊게 봤을거 같네요^^', '저도 셰튜브는 pc 모니터로만 감상했습니다 ㅎㅎ 워낙 내용이 좋아서 가볍게 봐도 좋더군요 :)', '흐흐 바람직한 홈캉스군요!! 책상이 아주 보기 좋습니다... 언젠가 저기에 꼭 방문을!', '셰튜브가 최고의 홈캉스입니다 :) 언젠가는..!!!', '제가 연차는 제법 남았으니 일정 조정 해보시죠 흐흐 편하신 평일이 있다면... 제가 맞춰보겠습니다!']",네이버포탈,https://cafe.naver.com/schezade/268198?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNjaGV6YWRlIiwiYXJ0aWNsZUlkIjoyNjgxOTgsImlzc3VlZEF0IjoxNzY2MTU4NTgxMjQzfQ.bZocmHXKp6DY54zRnNZkI2iu-0ZxyxYK2AZEuA5JOzo,아메리카누,검은소음 | 아메리카누 | 시간공간 | 아메리카누 | 음악듣는 돌고래 | 아메리카누 | Benny Blanco | 아메리카누 | FOCAL | 아메리카누 | FOCAL | 아메리카누 | 세바스찬바하 | 아메리카누 | MD 쿠엘 | 아메리카누 | MD 쿠엘
2025.06.19. 11:08,에어컨+%2B홈캉스 ,에어컨청소 허니 속이다 시원하네요👍,처음 받나본 에어컨 청소 너무 만족해여😆 아이가 있는 집이라 관리를 나름 열심히 했는데도어쩔수없는 에어컨 곰팡이들 ㅜㅜ올해는 제대로 받아보자해서 우렁 총각에 예약하고청소받아봤는데 인기있는곳은 이유가 있네요👏👏 깨끗한건뭐 말할것 없고 직원분들이 너무 친절해서더 만족했던 우렁총각 적극추천해요👍👏올 여름 깨끗해진 에어컨으로 홈캉스 즐겨야겠어요~,"['고객님~ 잊지 않으시고 소중한 리뷰 남겨주셔서 너무 감사드려요🥹❤️   \n\n고객님께서 만족하신 청소에 대해 좋은 후기글을 남겨주셔서 에어컨 청소를 고민 하신 분들 께 큰 도움이 될 것 같습니다 ~😊저희에게도 큰 힘이 되는 후기 정말 감사드리며 , 항상 건강하시고 행복하시길 바라겠습니다 ☺️🌷\n\n에어컨은 가동시 첫 5분은 창문을 열고 가동시켜주시고 사용후에는 꼭 송풍으로 30분 정도 말려주셔야 좋습니다. 가동시 향초나 요리를 하시게되면 에어컨 냄새의 원인이 되니 피해주시는게 좋습니다~😊    \n\n우렁총각은 홈케어 분해청소 전문업체로서 에어컨, 세탁기, 건조기청소도 진행중이니 다음에도 우렁총각 찾아주세요~ 감사합니다 ^^      \n\nhttps://naver.me/5T37ZLpp']",네이버포탈,https://cafe.naver.com/nonsanbaby/691881?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im5vbnNhbmJhYnkiLCJhcnRpY2xlSWQiOjY5MTg4MSwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.aQ7BEzPIGFsx3xSTtDn_fHDxGoJrnemxfSaBTWbBY2U,우끼끼뚜끼,우렁총각 논산점
2025.08.02. 11:15,에어컨+%2B홈캉스 ,홈캉스 그까이꺼 대~충,오늘 점심은 피자 입니다.에어콘 틀었습니다.홈캉스 그까이꺼~,"['', 'END죠😊 최고의 피서👍🍨🎶', '부럽습니다.', '나가야만 휴식은 아니죠, 너무 좋은거 같습니다 ㅋㅋ']",네이버포탈,https://cafe.naver.com/schezade/268124?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNjaGV6YWRlIiwiYXJ0aWNsZUlkIjoyNjgxMjQsImlzc3VlZEF0IjoxNzY2MTU4NTgxMjQzfQ.2ROHHZbwIVCINDBkom1ORmzAkMrO72tCmaeUykCVZtU,이리야이리야,modios | Benny Blanco | 눈팅매니아 | Ludo
2025.07.11. 20:16,에어컨+%2B홈캉스 ,더울땐  에어컨 아래서 뒹굴뒹굴 홈캉스 듕,,['아이고 귀여운 댕댕이'],네이버포탈,https://cafe.naver.com/dogpalza/18852771?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRvZ3BhbHphIiwiYXJ0aWNsZUlkIjoxODg1Mjc3MSwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.RiEceBFtDIRXnyhQ_dTpg8S3njZSVTnrDcbM3fTB8J8,러브짱,고운눈망울
2025.06.29. 16:42,에어컨+%2B홈캉스 ,홈캉스 즐기는 중,에어컨 빵빵 틀어놓고 이불 살짝쿵 덮는거 국룰인거 아시죠?나른한 주말 여유롭게 집에서 홈캉스 좋네요,['주말 또 왔으면 좋겠네....'],네이버포탈,https://cafe.naver.com/workee/1256374?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6IndvcmtlZSIsImFydGljbGVJZCI6MTI1NjM3NCwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.S6bZZAtKcGbtIq0puHVmtJTDmmNTuQs9lcJ--EJ2hsI,규르미르,시간이너무빨라
2025.06.29. 16:46,에어컨+%2B홈캉스 ,외부 기온36도를 피해 홈캉스중입니다,오늘 무지 덥네요.. 이런날은 에어컨 빵빵하게 틀고 이분 살짝 쿵 덮고 홈캉스하게 국룰인거 아시죠?ㅋㅋ,[],네이버포탈,https://cafe.naver.com/anycallusershow/5016392?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFueWNhbGx1c2Vyc2hvdyIsImFydGljbGVJZCI6NTAxNjM5MiwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.5auOmI1AVHbGQ_--WVSjscXufh4xquI2k5mOOTWevBI,한반두,댓글 닉네임 없음
2025.08.10. 18:22,에어컨+%2B홈캉스 ,홈캉스가 최고,덥고 습하고~ 숨막히는 날씨에 홈캉스 만한게 없네요~무더위에 이웃 맘님들 건강 잘 챙기세요~~,['정말요~ 호캉스 갈 돈으로 에어컨 팡팡켜고 맛있는음식 먹는게 최고의 휴가인것같아요👍'],네이버포탈,https://cafe.naver.com/daechonmom/350466?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRhZWNob25tb20iLCJhcnRpY2xlSWQiOjM1MDQ2NiwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.YsE9mfz2u-9oCSra98K0Sj-u1wiTpNCvDJpzoMUZ6fo,진호,김혜지
2025.08.09. 15:04,에어컨+%2B홈캉스 ,찌는더위엔 시원한 홈캉스,"너무너무 더운날은 차까지 가는 순간도 숨쉬기 힘들어요 그래서 친구들이랑 홈캉스 하기로 했어요 😉😉 오늘 집으로 초대한 친구들은 기어다니기 전 부터 친하게 지낸 첫째의 친구들이예요 요랬던 아가들이 또 크리스마스도 보내고 이젠 보이가 됐습니다 뿅뿅 총놀이 칼싸우또 하고요 0초 0초 광고 후 계속됩니다. 다음 동영상 subject author 취소 재생 28 재생 (space/k) 재생 00:18 0:00:00 재생 (space/k) 재생 음소거 (m) 음소거 00:00 / 00:18 실시간 설정 전체 화면 (f) 해상도 자동 480p 자막 사용 안함 재생 속도 1.0x (기본) 해상도 자동 (480p) 1080p HD 720p HD 480p 270p 자막 자막 추가 설정 사용 안함 옵션 글자 크기 배경색 재생 속도 0.5x 1.0x (기본) 1.5x 2.0x 죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요. 도움말 음소거 상태입니다. 도움말 라이선스 디버그 정보 다운로드 고화질 재생이 가능한 영상입니다. 설정에서 해상도를 변경해보세요. 더 알아보기 00:00 찌는더위엔 시원한 홈캉스 (1) 잡기놀이도 끝없이 합니다 🫠🫠 그리고 엄마가 준비한 물놀이.에어바운스 엄마는 항상 진심으로 최선을다해.놀아주기 ,,, 0초 0초 광고 후 계속됩니다. 다음 동영상 subject author 취소 재생 9 재생 (space/k) 재생 00:14 0:00:00 재생 (space/k) 재생 음소거 (m) 음소거 00:00 / 00:14 실시간 설정 전체 화면 (f) 해상도 자동 480p 자막 사용 안함 재생 속도 1.0x (기본) 해상도 자동 (480p) 1080p HD 720p HD 480p 270p 자막 자막 추가 설정 사용 안함 옵션 글자 크기 배경색 재생 속도 0.5x 1.0x (기본) 1.5x 2.0x 죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요. 도움말 음소거 상태입니다. 도움말 라이선스 디버그 정보 다운로드 고화질 재생이 가능한 영상입니다. 설정에서 해상도를 변경해보세요. 더 알아보기 00:00 찌는더위엔 시원한 홈캉스 (2) 정신없이.물놀이.하고먹는 수박은 꿀수박😘😗😆 덩달아 둘찌도 신났어요😝 밥먹고 아이스크림도 헤치우고 아들 넷 뛰어도 끄떡없는 헷세드😍우리집 트램펄린 🤩 에어컨 빵빵하게 틀고집에서 노는게 최고인 여름이예요 🤟 오늘부터 비가 며칠동안.오네요 더위가 한풀 꺾이고 빨리 선선한 바람이 불면 좋겠어요 💕 채록이네 홈쿨링 스토리였습니다🫶","['우와아아~~~ 최고의 홈캉스네요!!!! 백만점 엄마세요!!!🤩', '아이들 신나게 뛰는소리가 사람사는맛 나게합니다', '클라스가 다르네요', '앞마당이 멋진 물놀이장이 되었네요~^^ 더위가 얼씬도 못하겠어요!', '그 유튜브에서 봤던 집이잖아요.. 그 집 보고, 얼마나 또 주택삼매경에 빠졌던지... 아이들 노는 모습보니 ,, 펜션 호텔보다 훨씬 좋은데.. 홈캉스 할만하네요~~ ㅎㅎ', '크리스마스 세아이 표정이 너무 귀여워요저정도 물놀이 시설이면 홈캉스가 최고겠어요', '집이 운동장이네요ㅎㅎ 홈캉스 끝판왕 인정 인정~']",네이버포탈,https://cafe.naver.com/hassedhouse/49272?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imhhc3NlZGhvdXNlIiwiYXJ0aWNsZUlkIjo0OTI3MiwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.jbFWmThxIKK6HkZ7zB-_KStvFNUfsXf45tOkILPr3Dw,kkang762,뿌꾸 | 개 토 | 바라봄준 | 노을이지는강 | thanx4E | 루나경 | 궁금하니까
2025.06.07. 15:35,에어컨+%2B홈캉스 ,오늘 날씨!!!,오늘 정말 더운 날씨네요아이가 다리를 다쳐서 아무데도 못가고 집이지만집에서 에어컨 틀고 홈캉스중입니다ㅎㅎ집사님들께서는 날씨 더운데 뭐하고 계실까요?♡,[],네이버포탈,https://cafe.naver.com/myfriendspet/2168878?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im15ZnJpZW5kc3BldCIsImFydGljbGVJZCI6MjE2ODg3OCwiaXNzdWVkQXQiOjE3NjYxNTg1ODEyNDN9.Dfqkg80YITyZU-zVJBUFo2Ro1ukf67BZ1Awj9rVxpWo,잇잇,댓글 닉네임 없음
2025.08.24. 10:55,에어컨+%2B홈캉스 ,오늘도 덥네요ㅠㅠ,외출할까 하다가 에어컨 밑에서 홈캉스 하기로 헸어요ㅠㅠㅠㅠㅠ,"['이런날은 집이 최고죠..', '많이 많이 덥네요']",네이버포탈,https://cafe.naver.com/boodongsan0114/264070?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJvb2RvbmdzYW4wMTE0IiwiYXJ0aWNsZUlkIjoyNjQwNzAsImlzc3VlZEF0IjoxNzY2MTU4NTgxMjQzfQ.31YK-iJcAJ31PP4Ur_0_gfcKzeZjLc8rZh9j2tMnDrQ,하늘이구름이,언젠가도착 | Seceda
